,,,,LIFE,LIV,dark,mörk,it,den/det,special,särskild,die,dör (dog,somewhere/anywhere,någonstans,around,runt,,,,,welcome (i.e. after thanks),varsågod,yes and no (https://www.thelocal.se/20200720/swedish-word-of-the-day-nja?utm_source=piano&utm_medium=email&utm_campaign=152&tpcc=se-wd&pnespid=i7ZppPIJBhSN2dFRgrRqb.0_fzT.25nc8kBmsg),nja (nej och ja)
,,,,health,hälsa,light,ljus,its,dess,good/tasty,god/gott/goda !ont!,alive,lever (levde,here i.e. direction,hit,along,längs,,,,,welcome (greeting),välkommen,one takes what one has,man tar vad man har
,,,,death,död,white,"vit,vitt,vita",(possessives with ownership),sin/sitt/sina+,bad/evil,ont !god！,"live, stay","bor (bodde, har bott, (att) bo, bo!)",here,här,after,efter,,,,,good morning,god morgon,patch up,lappa och laga
,,,,EVIL,ONT,black,"svart, svart, svarta",everything,"allt, allting","good/successful,done well/skilful",bra !dålig!,travel,reser,there i.e. direction,dit,before (...object),före,,,,,good afternoon,god eftermiddag,"there is no bad weather, only inappropriate clothing","det finns inget dåligt väder, bara dåliga kläder"
,,,,battle,strid,grey,"grå, grått, gråa",everyone,alla,bad,dålig,drive,kör (körde,there,där,during,under,,,,,good night,god natt,overpriced rent,ockerhyra https://www.thelocal.se/20210120/swedish-word-of-the-day-ockerhyra?utm_source=piano&utm_medium=email&utm_campaign=152&tpcc=se-wd&pnespid=l7J39_cJCRWNPTao_kNBJJAq8qWlo3rIRE3oCQ
,,,,war,krig,brown,"brun, brunt, bruna",nobody,ingen,professional,professionell,turn,svänger (svängde,gone,borta,since,sedan,,,,,sleep well,sov gott,never give up,ger aldrig upp
,,,,victory,seger,red,"röd, rött, röda",anyone,vem som helst,outer/external,yttre,love,älskar,away,bort,under,under,,,,,who,vem,talent expulsions,kompetensutvisningar https://www.forbes.com/sites/freylindsay/2019/02/13/why-sweden-is-deporting-high-skilled-labor-migrants/?sh=77ea8ee04510
,,,,peace,frid,pink,rosa,someone/anyone,någon,inner/internal,inre,hate,hatar,close to,nära,over,över,,,,,whose,vems,a battle between true and false,en strid mellan sant och falskt http://t.mitt.dn.se/nl/jsp/m.jsp?c=%40FnSSOVQHR2%2FrN6SI43J4Cu5N6Q6uXO2seGYWHtUsWdg%3D
,,,,love,kärlek,orange,orange,something/anything,"något, någonting",colorful,färgglad,forgive,förlåter,now,nu,from i.e. emphasis on origin/item,från,,,,,what,vad,evokes many strong emotions,väcker många starka känslor http://t.mitt.dn.se/nl/jsp/m.jsp?c=%40FnSSOVQHR2%2FrN6SI43J4Cu5N6Q6uXO2seGYWHtUsWdg%3D
,,,,apocalypse,apokalyps,yellow,"gul, gult, gula",some (plural of someone/something)/ any (plural of anyone/anything),några,golden,gyllene,like/think about,"tycker om (, , tycka om",soon,snart,"from i.e. emphasis on give,receive",,,,,,where,var,outdoor activities,friluftsaktiviteter http://t.mitt.dn.se/nl/jsp/m.jsp?c=%40g2GMfwocs%2FITuM2GkTc%2F1%2BsZ%2B%2BSNJLT6WFgOpVHcZWw%3D
,,,,luxury,lyx,green,"grön, grönt, gröna","yourselves, ourselves, themselves",själva,"calm, peaceful",lugn/lugnt/lugna; /fridfullt,enjoy e.g. she enjoys her work,trivs (med) e.g. hon trivs med sitt arbete,currently,för närvarande,to,till,,,,,why,varför,field-kitchen,stormkök http://t.mitt.dn.se/nl/jsp/m.jsp?c=%40g2GMfwocs%2FITuM2GkTc%2F1%2BsZ%2B%2BSNJLT6WFgOpVHcZWw%3D
,,,,waste,avfall,blue,"blå, blått, blåa",half,hälften,high,hög,think (of you),"tänker (på dig) (tänkte, , tänka",slowly,långsamt,for i.e. to make something FOR someone or FOR a purpose,till,,,,,when,när,work from home,arbete hemifrån http://t.mitt.dn.se/nl/jsp/m.jsp?c=%4069XNSzV1EOSzwjdK4q3ua6KNG1QDvGPAWbfz8121qvw%3D
,,,,lack/shortage,brist,purple,lila,double,dubbelt,low,låg,think/consider e.g. what do you think of her,anser e.g. vad anser du om henne,late,sent,for i.e. do something to please someone,för,,,,,which,vilka,sustainability and fashion,hållbarhet och mode https://www.fashiongoalsacademy.com/
,,,,violence,våld,TIME,"TID (TIDEN, , )",,,long ago,länge sedan,wonder,undrar,later,senare,for i.e. do something FOR someone so they don't need to ,åt,,,,,how,hur,"human, social and economic price","mänskligt, socialt och ekonomiskt pris http://t.mitt.dn.se/nl/jsp/m.jsp?c=%40JaapsjfVn%2F6JWwODBOcPhujwd2%2FUUdyJ0tmn4GEjMiE%3D"
,,,,drug,drog,age,ålder,,,sensitive,känsliga,worry (e.g. why do you worry about it),oroar (e.g. varför oroar du dig för det),"finally i.e. Used to express relief, happiness",äntligen,at,åt,,,,,what time is it?,hur mycket är klockan? / vad är klockan?,then it will be so/so be it,så får det bli så https://mail.google.com/mail/u/0/?pli=1#inbox/FMfcgxwLsKGXfsTpDcqDkbKLjplWmrxM
,,,,pain,ont,birth,födelse,,,sick,sjuk,remember,"minns (mindes, , minnas",recently,nyligen,at (place) e.g. our place ,hos e.g. hos oss,,,,,,,pop star charisma,popstjärneutstrålning http://t.mitt.dn.se/nl/jsp/m.jsp?c=%401NYpzRKRdavh3vsRAM8efTqiTxxqHztoO3QWUL1QZ7Q%3D
,,,,damage/harm/injury,skada,birthday,födelsedag,,,"small, little",liten/litet/små/lilla,remember,kommer du ihåg,so i.e. very,så,behind,bakom,,,,,,,receipe for success,framgångsrecept http://t.mitt.dn.se/nl/jsp/m.jsp?c=%40IVqY7b2Xr4zp4cSi0kQx%2BwPhXpIRiQY3uR8gJFntfyU%3D
,,,,blood,blod,party,fest,,,big/large,stor/stort/stora,suppose/assume (that),antar (att) (antog,too e.g. too big,för e.g. för stor,in front of,framför,,,,,,,"big, small or nothing at all","stora, små eller inte alls"
,,,,emissions,utsläpp,lesson,lektion,,,enormous,enorm,thank,tackar (tackade,very,väldigt,ahead/forward,framåt,,,,,,,eat good but healthy,äter gott men nyttigt http://t.mitt.dn.se/nl/jsp/m.jsp?c=%40aMPVypOPzscBNJCUS5daXUnB94emLIpvTCGWfiyNZFY%3D
,,,,alphabet,"alfabet (alfabetet, alfabet, alfabeten)",generation,generation,,,short,kort/korta,start,"börjar (började, , börja",even i.e. emphasize something surprising or extreme,till och med,toward/against,mot,,,,,,,as soon as possible,så snart som möjligt
,,,,vowel,"vokal (vokalen, vokaler, vokalerna)",century,århundrade(t),,,tall/long,lång/långt/långa,continue,"fortsätter (, , fortsätta",not even,inte ens,per (i.e. for each),per,,,,,,,if you do not try you never succeed,om du inte försöker lyckas du aldrig
,,,,pronounciation,"uttal (uttalet, uttal, uttalen)",decade,årtionde(t),,,open,öppen/öppet/öppna/öppnar,"stop, finish",slutar,often,ofta,than (i.e. introduce second element in comparison),än,,,,,,,"house, Volvo, dog","villa, Volvo, vovve https://hejsweden.com/en/swedish-life-goals-villa-volvo-vuvve/"
,,,,art,konst,period,period,,,close,stängd/stängdt/stängda,try,"försöker (försökte, , försöka",always,alltid,,,,,,,,,,
,,,,race,kapplöpning,moment,ögonblick,,,"warm, hot",varm/varmt/varma,dare,våga,never,aldrig,,,,,,,,,,
,,,,exception,undantag,experience,"upplevelse (upplevelsen, upplevelser, upplevelserna)",,,cold,kall/kallt/kalla,need,"behöver (behövde, , behöva",sometimes,ibland,,,,,,,,,,
,,,,HUMAN,MÄNNISKA,time (i.e. an instance of something happening or being done e.g. first time),"gång (gånger, gången, )",,,clean,ren/rent/rena,want,"vill ha i.e. want to have (ville ha, , vilja","rarely, seldom",sällan,,,,,,,,,,
,,,,PERSON/PEOPLE,PERSON/PERSONER,break/rest,rast,,,dirty,smutsig/smutsigt/smutsiga,wish (e.g. for who),önskar (e.g. önskar mig),usually,vanligtvis,,,,,,,,,,
,,,,people,folk(et),future,framtid (framtiden),,,comfortable,bekväm/bekvämt/bekväma,choose,väljer (valde,suddenly,plötsligt,,,,,,,,,,
,,,,people,människor,past,förflut,,,cozy,mysig,understand,förstår (förstod,generally,i allmänhet,,,,,,,,,,
,,,,throng/crowd,trängsel,a while,en stund,,,new,ny/nytt/nya,know i.e. Facts,"vet (visste, , veta",especially,särskilt,,,,,,,,,,
,,,,man/men,man/män,second,sekund,,,young,ung/ungt/unga,know/feel i.e. to sense/feel people (e.g. I know you; the room feels cold),"känner (kände, , ,) (e.g. Jag känner dig; rummet känns kallt)",possibly,möjligtvis,,,,,,,,,,
,,,,guy,"kille ( , killar, )",minute,minut,,,old,gammal/gammalt/gamla,feel e.g. how are you,mår e.g. hur mår du,probably,troligtvis,,,,,,,,,,
,,,,woman,"kvinna (kvinnan, kvinnor, kvinnorna)",hour,timme,,,(to the) left/right,(till) vänster/höger,believe (in),"tror (på) (trodde, , tro",maybe,kanske,,,,,,,,,,
,,,,lady,dam,half an hour,halvtimme,,,famous,berömd/berömda,trust (in),litar (på) (litade,definitely,definitivt,,,,,,,,,,
,,,,boy,boy,quarter an hour,kvart,,,popular,populär/populärt/populära,hope,hoppas (hoppades,absolutely,absolut,,,,,,,,,,
,,,,girl,flicka,24 hours,dygn,,,interesting,interessant/interessanta,mean (e.g. you mean a lot to me),betyder (e.g. du betyder mycket för mig),necessarily,nödvändigtvis,,,,,,,,,,
,,,,girl," (, tjejer, )",DATE,DATUM(ET),,,fun,kul,offer/pay,bjuder,already,redan,,,,,,,,,,
,,,,children/the child,barn/et,calendar,kalender,,,funny,roligt,give,"ger (gav, , ge",yet,än,,,,,,,,,,
,,,,baby,spädbarn(et),DAY,"DAG (DAGEN, DAGAR, DAGARNA)",,,sad,sorglig,take,"tar (tog, , ta","entirely, completely, absolutely",helt,,,,,,,,,,
,,,,"youth,youngster","ungdom (, , ungdomarna)",morning,morgon,,,angry,arg,"take away, remove",ta bort,"really, indeed i.e. Emphasis (of realness) ",verkligen,,,,,,,,,,
,,,,"adult, grownup","vuxen (, vuxna, )",noon,middag,,,boring,tråkig,"keep, retain",behåll (behöll,actually i.e. contrary to belief,egentligen,,,,,,,,,,
,,,,vegetarian,vegetarian,afternoon,eftermiddag,,,crazy,galen,"get, receive (from)","får (av) (fick, , få",actually i.e. reinforce a fact,faktisk,,,,,,,,,,
,,,,public,"allmänhet (allmänheten, , )",evening,kväll,,,hypnotic,hypnotisk,send,skickar,"quite,pretty,fairly",ganska,,,,,,,,,,
,,,,agency/authority,myndighet (https://www.thelocal.se/20210104/swedish-word-of-the-day-myndighet?utm_source=piano&utm_medium=email&utm_campaign=152&tpcc=se-wd&pnespid=lfV1sPQFXlON7g07S35_ZqepVp8XaSNQ4G20gA),night,natt,,,beautiful,vacker/vackert/vackra,serve,serverar,almost,nästan,,,,,,,,,,
,,,,citizen,"medborgar (medborgaren, , )",yesterday,i går,,,handsome,snygg/snygge/snygga,put,ställer/lägger (ställde/lade,approximately,ungefär,,,,,,,,,,
,,,,individual,"individ (individen, , )",today,i dag,,,ugly,ful/fult/fula,fill,fyller,exactly,precis,,,,,,,,,,
,,,,guest,"gäst (, gäster, )",tomorrow,i morgon,,,strange,konstig,do,"göra (gjorde, , göra",together,tillsammans,,,,,,,,,,
,,,,friend,"vän (-,vänner,-)",day before yesterday,i förrgår,,,same,samma,eat,"äter (åt, , äta",anyway i.e. Regardless,ändå,,,,,,,,,,
,,,,friend (casual i.e. buddy/pal),kompis,WEEK,VECKA,,,"alike,equal e.g. Looks like",lik e.g. är lik /likt /lika,drink,dricker (drack,,,,,,,,,,,,
,,,,enemy,fiende,Monday,måndag,,,different,olika,taste,smakar,,,,,,,,,,,,
,,,,victim,offer (offret),Tuesday,tisdag,,,visible,synlig,sleep,"sover (sov, , sova",,,,,,,,,,,,
,,,,conference,konferens (konferenser),Wednesday,onsdag,,,invisible,osynlig,rest,vilar (vilade,,,,,,,,,,,,
,,,,committee,kommitten,Thursday,torsdag,,,physical,fysisk,breathe,andas,,,,,,,,,,,,
,,,,culture,"kultur ( , kulterer, )",Friday,fredag,,,virtual,virtuell,sit,sitter (satt,,,,,,,,,,,,
,,,,population,"befolkning (befolkningen, , )",Saturday,lördag,,,noticeable,kännlig,lie (down),ligger (låg,,,,,,,,,,,,
,,,,relationship,förhållande,Sunday,söndag,,,recognizable,igenkännlig,stand,står (stod,,,,,,,,,,,,
,,,,behaviour,beteende,weekday/workday,vardag,,,unrecognizable,oigenkännlig,come,"kommer (kom, , komma",,,,,,,,,,,,
,,,,king,kung,weekend,helg,,,"common, usual",vanlig/vanliga,go/leave,"åker (åkte, , åka",,,,,,,,,,,,
,,,,queen,drottning,MONTH,MÅNAD,,,rare,ovanlig/ovanliga,leave e.g. she leaves him,lämnar e.g. hon lämnar honom (lämnade,,,,,,,,,,,,
,,,,crown princess,kronprinsess,january,januari,,,important,viktig/viktigt,"stay, remain","stannar (stannade, , stanna",,,,,,,,,,,,
,,,,prince,"prins (prinsen, ,)",february,februari,,,serious,allvarlig/allvarligt/alvarliga,wait,vänta (väntade,,,,,,,,,,,,
,,,,viking,viking,march,mars,,,strong,stark,"go,walk","går (gick, , gå",,,,,,,,,,,,
,,,,FAMILY,FAMILJ,april,april,,,powerful/sharp (e.g. sharp increase),kraftig,pass (by) i.e. in terms of space or time,passerar,,,,,,,,,,,,
,,,,dad,pappa/far,may,maj,,,weak,svag,follow,följer (följde,,,,,,,,,,,,
,,,,mum,mamma/mor,june,juni,,,sensitive,känsliga,run,"springer (sprang, , springa",,,,,,,,,,,,
,,,,son,son,july,juli,,,possible,möjligt,exercise/train,träna,,,,,,,,,,,,
,,,,daughter,dotta,august,augusti,,,impossible,omöjlig/omöjligt,jump,hoppar,,,,,,,,,,,,
,,,,siblings,syskon,september,september,,,hard/tough,svårt,fly,flyger (flög,,,,,,,,,,,,
,,,,sister/s,syster/systra,october,oktober,,,easy,enkel/enkelt/enkla,play,"leker (lekte, , leka",,,,,,,,,,,,
,,,,brother,bror/bröder,november,november,,,necessary,nödvändig/nödvändigt,catch,", (, , fånga",,,,,,,,,,,,
,,,,twin,tvilling,december,december,,,"efficient,effective",effektiv/effektivt/effektiva,swim,"simmar (simmade, , simma",,,,,,,,,,,,
,,,,husband,man,half a year,halvår,,,ready,redo,dance,dansa,,,,,,,,,,,,
,,,,couple,par (paret),year,år,,,private,privat/privata,cook,"lagar (lagade, , laga",,,,,,,,,,,,
,,,,girlfriend,flickvän,SEASON e.g. Peak Season,SÄSONG e.g. Högsäsong,,,personal,personlig/personligt,bake,"bakar (, , baka",,,,,,,,,,,,
,,,,wife,fru,SEASON i.e. 4 seasons,ÅRSTID,,,public,offentlig,wear,har på sig,,,,,,,,,,,,
,,,,aunt,faster/moster,spring,vår,,,official,officiell/officiellt,wash,"tvättar ( , , tvätta",,,,,,,,,,,,
,,,,uncle,farbror/morbror,summer,sommar,,,real,riktig/riktigt,use,"använder (använde, , använda",,,,,,,,,,,,
,,,,cousin,kusin,fall,höst,,,"false,fake",falsk,work,"arbetar (arbetade, , arbeta",,,,,,,,,,,,
,,,,grandpa,morfar/farfar,winter,vinter,,,true ,sann,function/work e.g. how does it work,fungerar e.g. hur fungerar det,,,,,,,,,,,,
,,,,grandma,mormor/farmor,NUMBER,NUMMER,,,religious,religiös,meet,möter,,,,,,,,,,,,
,,,,grandchildren,barnbarn,the number (of),antalet,,,next,nästa,meet,träffas,,,,,,,,,,,,
,,,,____-in-law,svär____,the amount (of),mängden,,,previous,förra,buy,"köper (köpte, , köpa",,,,,,,,,,,,
,,,,wedding,bröllop,figure/digit,siffra,,,the ___ before last i.e. previous previous,förrförra,sell,"säljer (sålde, , sälja",,,,,,,,,,,,
,,,,partner/cohabitant,sambo,CARDINAL NUMBERS (quantity),GRUNDTAL,,,first,först/första,rent,"hyr (hyrde, , hyra",,,,,,,,,,,,
,,,,JOB,JOBB(ET),0,noll,,,last,sist/sista,cost,kostar,,,,,,,,,,,,
,,,,OCCUPATION,OCKUPATION,1,ett,,,second,andra,pay,"betalar (betalade, , betala",,,,,,,,,,,,
,,,,PROFESSION,YRKE,2,två,,,third,tredje,earn,tjäna,,,,,,,,,,,,
,,,,CAREER,KARRIÄR,3,tre,,,fourth,fjärde,spend,spendera/tillbringar,,,,,,,,,,,,
,,,,WORK,ARBETE(T),4,fyra,,,fifth,femte,invest,investera/satsa,,,,,,,,,,,,
,,,,worker,arbetare,5,fem,,,sixth,sjätte,count,"räknar (räknade, har räknat, att räkna, räkna!)",,,,,,,,,,,,
,,,,boss,chef,6,sex,,,seventh,sjunde,optimize,optimera,,,,,,,,,,,,
,,,,Chief Executive Officer (CEO),Verkställande Direktör (VD),7,sju,,,eighth,åttonde,win,vinna (vann,,,,,,,,,,,,
,,,,staff,personal,8,åtta,,,ninth,nionde,lose,förlora (förlorade,,,,,,,,,,,,
,,,,cook,kock,9,nio,,,afraid,rädd/rädda,drop/lose e.g. if you lose your passport,tappar e.g. om du tappar passet (tappade,,,,,,,,,,,,
,,,,bakery,bagare,10,tio,,,wrong,fel,succeed,lyckas,,,,,,,,,,,,
,,,,student/pupil,", (eleven, elever , )",11,elva,,,correct,rätt/korrekt,fail,misslyckas,,,,,,,,,,,,
,,,,teacher,"lärare (läraren, , )",12,tolv,,,valuable,värdefull/värdefullt/värdefulla,support,stöttar (stöttade,,,,,,,,,,,,
,,,,model,modell,13,tretton,,,rich,rik/rika,calm,lugna e.g. lugna dig,,,,,,,,,,,,
,,,,doctor,läkare,14,fjorton,,,expensive,dyr/dyrt/dyra,surprises e.g. my daughter surprises me everyday,överraskar e.g. min dotter överraskar mig varje dag,,,,,,,,,,,,
,,,,engineer,"ingenjör (ingenjören, ,)",15,femton,,,cheap,billig/billigt/billiga,help,"hjälper (hjälpte, , hjälpa",,,,,,,,,,,,
,,,,author/writer,"författare (författaren, , )",16,sexton,,,worth,värd/värt,save,sparar,,,,,,,,,,,,
,,,,lawyer,advokat,17,sjutton,,,"modern, fashionable",modern/modernt,save,räddar,,,,,,,,,,,,
,,,,judge,domare,18,arton,,,historical,historisk/historiskt,share e.g. you share a room,delar e.g. ni delar ett rum,,,,,,,,,,,,
,,,,government,regering,19,nitton,,,traditional,traditionell/traditionella,write,"skriver (skrev, , skriva",,,,,,,,,,,,
,,,,police (officer),polis,20,tjugo,,,full,full/fullt/fulla,draw,"ritar (, , rita",,,,,,,,,,,,
,,,,firefighter,brandman,21,tjugoen/tjugoett,,,empty,tom/tomt/tömma,spell,"stavar (stavade, har stavat, att stava, stava!)",,,,,,,,,,,,
,,,,soldier,"soldat (, soldater, )",22,tjugotvå,,,hungry,hungrig/hungrigt/hungriga,show,"visar (visade, , visa",,,,,,,,,,,,
,,,,interpreter,tolk,23,tjugotre,,,thirsty,//törstiga,present,presenterar (presenterade,,,,,,,,,,,,
,,,,artist,"artist/konstnär (konstnären, , )",24,tjugofyra,,,vegetarian,vegetarisk/vegetariska,create,skapa,,,,,,,,,,,,
,,,,architect,arkitekt,25,tjugofem,,,bilingual,tvåspråkig/tvåspråkigt/tvåspråkiga,produce,tillverkar,,,,,,,,,,,,
,,,,pilot,pilot,26,tjugosex,,,international,internationell,build,bygger,,,,,,,,,,,,
,,,,guard,vakt,27,tjugosju,,,slow,långsam/långsamt/långsamma,prepare e.g. we prepare for the trip,förbereder e.g. vi förbereder oss för resan,,,,,,,,,,,,
,,,,actor,skådespelare,28,tjugoåtta,,,fast,snabb/snabbt/snabba,cut e.g. the girl cuts with SCISSORS,klipper e.g. flickan klipper med en sax,,,,,,,,,,,,
,,,,actress,skådespelerska,29,tjugonio,,,early,tidig/tidigt/tidiga,cut e.g. the boy cuts with a KNIFE,skär e.g. pojken skär med en kniv,,,,,,,,,,,,
,,,,farmer,bonde,30,trettio,,,late,sen/sent/sena,SEE,"SER (såg, , se",,,,,,,,,,,,
,,,,priest,präst,40,fyrtio,,,light,lätt/lätta,see you (there),vi ses (där),,,,,,,,,,,,
,,,,guide,guide,50,femtio,,,heavy,tung/tungt/tunga,look (at),"tittar (på) (tittade, , titta",,,,,,,,,,,,
,,,,THING,"SAK ( , , sakerna)",60,sextio,,,American,"amerikansk (, amerikanska, )",read,"läser (läste, , läsa",,,,,,,,,,,,
,,,,OBJECT (there is),FÖREMÅL (det står),70,sjuttio,,,German,tyska,find,"hittar (hittade, , hitta",,,,,,,,,,,,
,,,,piece,bit,80,åttio,,,Finnish,finländsk,discover,upptäcker,,,,,,,,,,,,
,,,,pen,"penna (pennan, pennor, pennorna)",90,nittio,,,Finno-Swedish,finlandssvenska,examine,undersöker,,,,,,,,,,,,
,,,,paper,papper(et),100,hundra,,,Norwegian,norska,study,"studerar (, , studera",,,,,,,,,,,,
,,,,cell phone,mobil,1000,tusen,,,Danish,dansk,"search, look (for)",letar (efter) (letade,,,,,,,,,,,,
,,,,telephone,telefon,10000,tio tusen,,,European,europeisk,looks like,ser ut som,,,,,,,,,,,,
,,,,computer,"dator (datorn, datorer, datorerna)",100000,hundra tusen,,,international,"internationell (, internationella, )",resemble,liknar (liknade,,,,,,,,,,,,
,,,,basket,korg,1000000,"en miljon (, miljoner, )",,,happy,"glad/,/glada; /lyckligt/lyckliga",seems like,verkar som att (verkade,,,,,,,,,,,,
,,,,umbrella,paraply(et),1000000000,en miljard,,,satisfied,nöjd,SPEAK,"TALAR (TALADE, , TALA",,,,,,,,,,,,
,,,,bag,"väska (väskan, , )",things/items/pieces,stycken,,,sad/sorry,ledsen/ledsna,talk,"pratar (pratade, har pratat, att prata, prata!)",,,,,,,,,,,,
,,,,wallet,plånbok,sum,". (summan, ,)",,,"kind, friendly",snäll,tell,"berättar (för) (berättade, , berätta",,,,,,,,,,,,
,,,,money,pengar,total,sammanlagda,,,nervous,nervös,ask e.g. she asks for his telephone number,"ber (om) e.g. hon ber om hans telefonnummer (, , be",,,,,,,,,,,,
,,,,salary/wage,lön,plus,plus,,,in love,kär//kära,warn/alert,varna,,,,,,,,,,,,
,,,,key,"nyckel ( , nycklar, nycklarna)",average,genomsnitt,,,,,explain,förklarar (förklarade,,,,,,,,,,,,
,,,,battery,batteri(et),majority,. (majoriteten),,,,,greet,hälsar,,,,,,,,,,,,
,,,,machine,maskin,meter i.e. measurement,meter,,,,,sing,"sjunger (sjöng, , sjunga",,,,,,,,,,,,
